Year,Neighborhood,Category,Count
2005,Nob Hill,PROSTITUTION,232
2005,Nob Hill,VEHICLE THEFT,307
2006,Nob Hill,ASSAULT,189
2006,Nob Hill,LARCENY/THEFT,631
2006,Nob Hill,NON-CRIMINAL,227
2006,Nob Hill,OTHER OFFENSES,243
2006,Nob Hill,PROSTITUTION,245
2007,Nob Hill,ASSAULT,193
2007,Nob Hill,LARCENY/THEFT,559
2007,Nob Hill,NON-CRIMINAL,214
2007,Nob Hill,OTHER OFFENSES,233
2007,Nob Hill,PROSTITUTION,260
2008,Nob Hill,ASSAULT,199
2008,Nob Hill,LARCENY/THEFT,491
2008,Nob Hill,NON-CRIMINAL,231
2008,Nob Hill,OTHER OFFENSES,205
2008,Nob Hill,PROSTITUTION,191
2009,Nob Hill,ASSAULT,215
2009,Nob Hill,LARCENY/THEFT,475
2009,Nob Hill,NON-CRIMINAL,227
2009,Nob Hill,OTHER OFFENSES,265
2009,Nob Hill,VANDALISM,122
2010,Nob Hill,ASSAULT,188
2010,Nob Hill,LARCENY/THEFT,442
2010,Nob Hill,NON-CRIMINAL,246
2010,Nob Hill,OTHER OFFENSES,245
2010,Nob Hill,PROSTITUTION,168
2011,Nob Hill,ASSAULT,178
2011,Nob Hill,LARCENY/THEFT,449
2011,Nob Hill,NON-CRIMINAL,280
2011,Nob Hill,OTHER OFFENSES,209
2011,Nob Hill,PROSTITUTION,164
2012,Nob Hill,ASSAULT,191
2012,Nob Hill,BURGLARY,150
2012,Nob Hill,LARCENY/THEFT,533
2012,Nob Hill,NON-CRIMINAL,311
2012,Nob Hill,OTHER OFFENSES,241
2013,Nob Hill,ASSAULT,190
2013,Nob Hill,BURGLARY,130
2013,Nob Hill,LARCENY/THEFT,702
2013,Nob Hill,NON-CRIMINAL,335
2013,Nob Hill,OTHER OFFENSES,252
2014,Nob Hill,,
2014,Nob Hill,,
2014,Nob Hill,,
2014,Nob Hill,,
2014,Nob Hill,ASSAULT,2
2015,Nob Hill,ASSAULT,11
2015,Nob Hill,LARCENY/THEFT,17
2015,Nob Hill,NON-CRIMINAL,17
2015,Nob Hill,OTHER OFFENSES,7
2015,Nob Hill,WARRANTS,4
2016,Nob Hill,ASSAULT,116
2016,Nob Hill,LARCENY/THEFT,555
2016,Nob Hill,NON-CRIMINAL,206
2016,Nob Hill,OTHER OFFENSES,154
2016,Nob Hill,VANDALISM,104
2017,Nob Hill,ASSAULT,156
2017,Nob Hill,LARCENY/THEFT,478
2017,Nob Hill,NON-CRIMINAL,225
2017,Nob Hill,OTHER OFFENSES,172
2017,Nob Hill,VANDALISM,128
2003,Noe Valley,BURGLARY,99
2003,Noe Valley,LARCENY/THEFT,181
2003,Noe Valley,NON-CRIMINAL,85
2003,Noe Valley,OTHER OFFENSES,96
2003,Noe Valley,VEHICLE THEFT,248
2004,Noe Valley,BURGLARY,114
2004,Noe Valley,LARCENY/THEFT,187
2004,Noe Valley,NON-CRIMINAL,81
2004,Noe Valley,OTHER OFFENSES,79
2004,Noe Valley,VEHICLE THEFT,334
2005,Noe Valley,BURGLARY,89
2005,Noe Valley,LARCENY/THEFT,173
2005,Noe Valley,NON-CRIMINAL,88
2005,Noe Valley,OTHER OFFENSES,100
2005,Noe Valley,VEHICLE THEFT,309
2006,Noe Valley,BURGLARY,86
2006,Noe Valley,LARCENY/THEFT,165
2006,Noe Valley,OTHER OFFENSES,81
2006,Noe Valley,VANDALISM,75
2006,Noe Valley,VEHICLE THEFT,132
2007,Noe Valley,LARCENY/THEFT,157
2007,Noe Valley,NON-CRIMINAL,86
2007,Noe Valley,OTHER OFFENSES,83
2007,Noe Valley,VANDALISM,64
2007,Noe Valley,VEHICLE THEFT,74
2008,Noe Valley,BURGLARY,67
2008,Noe Valley,LARCENY/THEFT,166
2008,Noe Valley,NON-CRIMINAL,70
2008,Noe Valley,OTHER OFFENSES,88
2008,Noe Valley,VEHICLE THEFT,78
2009,Noe Valley,LARCENY/THEFT,191
2009,Noe Valley,NON-CRIMINAL,66
2009,Noe Valley,OTHER OFFENSES,107
2009,Noe Valley,VANDALISM,79
2009,Noe Valley,VEHICLE THEFT,87
2010,Noe Valley,LARCENY/THEFT,214
2010,Noe Valley,NON-CRIMINAL,72
2010,Noe Valley,OTHER OFFENSES,83
2010,Noe Valley,VANDALISM,66
2010,Noe Valley,VEHICLE THEFT,64
2011,Noe Valley,LARCENY/THEFT,198
2011,Noe Valley,NON-CRIMINAL,64
2011,Noe Valley,OTHER OFFENSES,93
2011,Noe Valley,VANDALISM,67
2011,Noe Valley,VEHICLE THEFT,82
2012,Noe Valley,BURGLARY,90
2012,Noe Valley,LARCENY/THEFT,223
2012,Noe Valley,NON-CRIMINAL,114
2012,Noe Valley,OTHER OFFENSES,97
2012,Noe Valley,VEHICLE THEFT,131
2013,Noe Valley,BURGLARY,84
2013,Noe Valley,LARCENY/THEFT,191
2013,Noe Valley,NON-CRIMINAL,114
2013,Noe Valley,OTHER OFFENSES,92
2013,Noe Valley,VEHICLE THEFT,95
2014,Noe Valley,,
2014,Noe Valley,,
2014,Noe Valley,,
2014,Noe Valley,,
2014,Noe Valley,VEHICLE THEFT,1
2015,Noe Valley,LARCENY/THEFT,4
2015,Noe Valley,NON-CRIMINAL,3
2015,Noe Valley,OTHER OFFENSES,4
2015,Noe Valley,SUSPICIOUS OCC,3
2015,Noe Valley,VEHICLE THEFT,6
2016,Noe Valley,BURGLARY,51
2016,Noe Valley,LARCENY/THEFT,138
2016,Noe Valley,NON-CRIMINAL,48
2016,Noe Valley,OTHER OFFENSES,52
2016,Noe Valley,VEHICLE THEFT,51
2017,Noe Valley,BURGLARY,74
2017,Noe Valley,LARCENY/THEFT,149
2017,Noe Valley,NON-CRIMINAL,65
2017,Noe Valley,OTHER OFFENSES,71
2017,Noe Valley,VEHICLE THEFT,56
2003,North Beach,ASSAULT,162
2003,North Beach,LARCENY/THEFT,482
2003,North Beach,NON-CRIMINAL,217
2003,North Beach,OTHER OFFENSES,171
2003,North Beach,VEHICLE THEFT,168
2004,North Beach,ASSAULT,154
2004,North Beach,LARCENY/THEFT,476
2004,North Beach,NON-CRIMINAL,245
2004,North Beach,OTHER OFFENSES,214
2004,North Beach,VEHICLE THEFT,144
2005,North Beach,ASSAULT,152
2005,North Beach,LARCENY/THEFT,513
2005,North Beach,NON-CRIMINAL,264
2005,North Beach,OTHER OFFENSES,167
2005,North Beach,VEHICLE THEFT,166
2006,North Beach,ASSAULT,179
2006,North Beach,LARCENY/THEFT,579
2006,North Beach,NON-CRIMINAL,231
2006,North Beach,OTHER OFFENSES,164
2006,North Beach,VANDALISM,111
2007,North Beach,ASSAULT,162
2007,North Beach,LARCENY/THEFT,660
2007,North Beach,NON-CRIMINAL,235
2007,North Beach,OTHER OFFENSES,171
2007,North Beach,VANDALISM,123
2008,North Beach,ASSAULT,173
2008,North Beach,LARCENY/THEFT,585
2008,North Beach,NON-CRIMINAL,207
2008,North Beach,OTHER OFFENSES,217
2008,North Beach,VANDALISM,109
2009,North Beach,ASSAULT,169
2009,North Beach,LARCENY/THEFT,554
2009,North Beach,NON-CRIMINAL,239
2009,North Beach,OTHER OFFENSES,253
2009,North Beach,VANDALISM,98
2010,North Beach,ASSAULT,187
2010,North Beach,LARCENY/THEFT,501
2010,North Beach,NON-CRIMINAL,248
2010,North Beach,OTHER OFFENSES,204
2010,North Beach,VANDALISM,104
2011,North Beach,ASSAULT,178
2011,North Beach,LARCENY/THEFT,530
2011,North Beach,NON-CRIMINAL,242
2011,North Beach,OTHER OFFENSES,211
2011,North Beach,VANDALISM,104
2012,North Beach,ASSAULT,173
2012,North Beach,LARCENY/THEFT,657
2012,North Beach,NON-CRIMINAL,263
2012,North Beach,OTHER OFFENSES,185
2012,North Beach,VANDALISM,104
2013,North Beach,ASSAULT,181
2013,North Beach,LARCENY/THEFT,658
2013,North Beach,NON-CRIMINAL,269
2013,North Beach,OTHER OFFENSES,171
2013,North Beach,VANDALISM,92
2014,North Beach,,
2014,North Beach,,
2014,North Beach,,
2014,North Beach,,
2014,North Beach,,
2015,North Beach,ASSAULT,10
2015,North Beach,LARCENY/THEFT,20
2015,North Beach,NON-CRIMINAL,13
2015,North Beach,OTHER OFFENSES,5
2015,North Beach,WARRANTS,5
2016,North Beach,ASSAULT,94
2016,North Beach,LARCENY/THEFT,759
2016,North Beach,NON-CRIMINAL,181
2016,North Beach,OTHER OFFENSES,130
2016,North Beach,VANDALISM,128
2017,North Beach,ASSAULT,114
2017,North Beach,LARCENY/THEFT,850
2017,North Beach,NON-CRIMINAL,228
2017,North Beach,OTHER OFFENSES,152
2017,North Beach,VANDALISM,135
2003,Oceanview/Merced/Ingleside,ASSAULT,177
2003,Oceanview/Merced/Ingleside,LARCENY/THEFT,137
2003,Oceanview/Merced/Ingleside,OTHER OFFENSES,226
2003,Oceanview/Merced/Ingleside,VEHICLE THEFT,204
2003,Oceanview/Merced/Ingleside,WARRANTS,119
2004,Oceanview/Merced/Ingleside,ASSAULT,162
2004,Oceanview/Merced/Ingleside,DRUG/NARCOTIC,99
2004,Oceanview/Merced/Ingleside,LARCENY/THEFT,162
2004,Oceanview/Merced/Ingleside,OTHER OFFENSES,237
2004,Oceanview/Merced/Ingleside,VEHICLE THEFT,236
2005,Oceanview/Merced/Ingleside,ASSAULT,139
2005,Oceanview/Merced/Ingleside,LARCENY/THEFT,157
2005,Oceanview/Merced/Ingleside,NON-CRIMINAL,111
2005,Oceanview/Merced/Ingleside,OTHER OFFENSES,229
2005,Oceanview/Merced/Ingleside,VEHICLE THEFT,267
2006,Oceanview/Merced/Ingleside,ASSAULT,123
2006,Oceanview/Merced/Ingleside,LARCENY/THEFT,197
2006,Oceanview/Merced/Ingleside,MISSING PERSON,97
2006,Oceanview/Merced/Ingleside,NON-CRIMINAL,108
2006,Oceanview/Merced/Ingleside,OTHER OFFENSES,195
2007,Oceanview/Merced/Ingleside,ASSAULT,109
2007,Oceanview/Merced/Ingleside,LARCENY/THEFT,102
2007,Oceanview/Merced/Ingleside,MISSING PERSON,142
2007,Oceanview/Merced/Ingleside,NON-CRIMINAL,91
2007,Oceanview/Merced/Ingleside,OTHER OFFENSES,221
2008,Oceanview/Merced/Ingleside,ASSAULT,150
2008,Oceanview/Merced/Ingleside,LARCENY/THEFT,121
2008,Oceanview/Merced/Ingleside,MISSING PERSON,95
2008,Oceanview/Merced/Ingleside,NON-CRIMINAL,107
2008,Oceanview/Merced/Ingleside,OTHER OFFENSES,261
2009,Oceanview/Merced/Ingleside,ASSAULT,116
2009,Oceanview/Merced/Ingleside,DRUG/NARCOTIC,95
2009,Oceanview/Merced/Ingleside,LARCENY/THEFT,194
2009,Oceanview/Merced/Ingleside,NON-CRIMINAL,104
2009,Oceanview/Merced/Ingleside,OTHER OFFENSES,265
2010,Oceanview/Merced/Ingleside,ASSAULT,164
2010,Oceanview/Merced/Ingleside,LARCENY/THEFT,126
2010,Oceanview/Merced/Ingleside,NON-CRIMINAL,97
2010,Oceanview/Merced/Ingleside,OTHER OFFENSES,215
2010,Oceanview/Merced/Ingleside,VANDALISM,88
2011,Oceanview/Merced/Ingleside,ASSAULT,123
2011,Oceanview/Merced/Ingleside,LARCENY/THEFT,134
2011,Oceanview/Merced/Ingleside,NON-CRIMINAL,92
2011,Oceanview/Merced/Ingleside,OTHER OFFENSES,189
2011,Oceanview/Merced/Ingleside,VANDALISM,84
2012,Oceanview/Merced/Ingleside,ASSAULT,138
2012,Oceanview/Merced/Ingleside,LARCENY/THEFT,171
2012,Oceanview/Merced/Ingleside,NON-CRIMINAL,126
2012,Oceanview/Merced/Ingleside,OTHER OFFENSES,194
2012,Oceanview/Merced/Ingleside,VANDALISM,109
2013,Oceanview/Merced/Ingleside,ASSAULT,140
2013,Oceanview/Merced/Ingleside,LARCENY/THEFT,206
2013,Oceanview/Merced/Ingleside,MISSING PERSON,110
2013,Oceanview/Merced/Ingleside,NON-CRIMINAL,159
2013,Oceanview/Merced/Ingleside,OTHER OFFENSES,174
2014,Oceanview/Merced/Ingleside,,
2014,Oceanview/Merced/Ingleside,,
2014,Oceanview/Merced/Ingleside,,
2014,Oceanview/Merced/Ingleside,,
2014,Oceanview/Merced/Ingleside,ASSAULT,2
2015,Oceanview/Merced/Ingleside,ASSAULT,5
2015,Oceanview/Merced/Ingleside,NON-CRIMINAL,4
2015,Oceanview/Merced/Ingleside,OTHER OFFENSES,4
2015,Oceanview/Merced/Ingleside,ROBBERY,2
2015,Oceanview/Merced/Ingleside,VEHICLE THEFT,2
2016,Oceanview/Merced/Ingleside,ASSAULT,89
2016,Oceanview/Merced/Ingleside,LARCENY/THEFT,100
2016,Oceanview/Merced/Ingleside,NON-CRIMINAL,70
2016,Oceanview/Merced/Ingleside,OTHER OFFENSES,133
2016,Oceanview/Merced/Ingleside,VEHICLE THEFT,40
2017,Oceanview/Merced/Ingleside,ASSAULT,110
2017,Oceanview/Merced/Ingleside,LARCENY/THEFT,92
2017,Oceanview/Merced/Ingleside,NON-CRIMINAL,109
2017,Oceanview/Merced/Ingleside,OTHER OFFENSES,125
2017,Oceanview/Merced/Ingleside,VEHICLE THEFT,49
2003,Portola,ASSAULT,92
2003,Portola,LARCENY/THEFT,126
2003,Portola,NON-CRIMINAL,115
2003,Portola,OTHER OFFENSES,127
2003,Portola,VEHICLE THEFT,204
2004,Portola,ASSAULT,100
2004,Portola,LARCENY/THEFT,109
2004,Portola,NON-CRIMINAL,115
2004,Portola,OTHER OFFENSES,155
2004,Portola,VEHICLE THEFT,236
2005,Portola,ASSAULT,93
2005,Portola,LARCENY/THEFT,120
2005,Portola,NON-CRIMINAL,85
2005,Portola,OTHER OFFENSES,141
2005,Portola,VEHICLE THEFT,244
2006,Portola,ASSAULT,112
2006,Portola,LARCENY/THEFT,101
2006,Portola,OTHER OFFENSES,129
2006,Portola,ROBBERY,82
2006,Portola,VEHICLE THEFT,86
2007,Portola,ASSAULT,112
2007,Portola,LARCENY/THEFT,91
2007,Portola,OTHER OFFENSES,144
2007,Portola,ROBBERY,77
2007,Portola,VEHICLE THEFT,90
2008,Portola,ASSAULT,102
2008,Portola,LARCENY/THEFT,118
2008,Portola,OTHER OFFENSES,181
2008,Portola,ROBBERY,105
2008,Portola,VEHICLE THEFT,76
2009,Portola,ASSAULT,90
2009,Portola,LARCENY/THEFT,106
2009,Portola,OTHER OFFENSES,197
2009,Portola,VANDALISM,73
2009,Portola,VEHICLE THEFT,72
2010,Portola,ASSAULT,91
2010,Portola,LARCENY/THEFT,91
2010,Portola,OTHER OFFENSES,202
2010,Portola,VANDALISM,80
2010,Portola,VEHICLE THEFT,76
2011,Portola,ASSAULT,93
2011,Portola,LARCENY/THEFT,104
2011,Portola,NON-CRIMINAL,75
2011,Portola,OTHER OFFENSES,137
2011,Portola,VEHICLE THEFT,75
2012,Portola,ASSAULT,85
2012,Portola,LARCENY/THEFT,99
2012,Portola,NON-CRIMINAL,85
2012,Portola,OTHER OFFENSES,151
2012,Portola,VEHICLE THEFT,100
2013,Portola,ASSAULT,94
2013,Portola,LARCENY/THEFT,130
2013,Portola,NON-CRIMINAL,98
2013,Portola,OTHER OFFENSES,185
2013,Portola,VEHICLE THEFT,86
2014,Portola,,
2014,Portola,,
2014,Portola,,
2014,Portola,,
2014,Portola,,
2015,Portola,ASSAULT,6
2015,Portola,NON-CRIMINAL,3
2015,Portola,OTHER OFFENSES,4
2015,Portola,ROBBERY,2
2015,Portola,VEHICLE THEFT,2
2016,Portola,ASSAULT,59
2016,Portola,LARCENY/THEFT,76
2016,Portola,OTHER OFFENSES,57
2016,Portola,VANDALISM,47
2016,Portola,VEHICLE THEFT,60
2017,Portola,ASSAULT,91
2017,Portola,LARCENY/THEFT,129
2017,Portola,NON-CRIMINAL,74
2017,Portola,OTHER OFFENSES,107
2017,Portola,VEHICLE THEFT,61
2003,Potrero Hill,ASSAULT,181
2003,Potrero Hill,LARCENY/THEFT,304
2003,Potrero Hill,OTHER OFFENSES,190
2003,Potrero Hill,VANDALISM,100
2003,Potrero Hill,VEHICLE THEFT,341
2004,Potrero Hill,ASSAULT,160
2004,Potrero Hill,BURGLARY,161
2004,Potrero Hill,LARCENY/THEFT,238
2004,Potrero Hill,OTHER OFFENSES,222
2004,Potrero Hill,VEHICLE THEFT,301
2005,Potrero Hill,BURGLARY,145
2005,Potrero Hill,LARCENY/THEFT,356
2005,Potrero Hill,OTHER OFFENSES,238
2005,Potrero Hill,VANDALISM,133
2005,Potrero Hill,VEHICLE THEFT,345
2006,Potrero Hill,ASSAULT,141
2006,Potrero Hill,BURGLARY,120
2006,Potrero Hill,LARCENY/THEFT,238
2006,Potrero Hill,OTHER OFFENSES,152
2006,Potrero Hill,VANDALISM,105
2007,Potrero Hill,ASSAULT,134
2007,Potrero Hill,BURGLARY,132
2007,Potrero Hill,LARCENY/THEFT,235
2007,Potrero Hill,OTHER OFFENSES,150
2007,Potrero Hill,VANDALISM,107
2008,Potrero Hill,ASSAULT,120
2008,Potrero Hill,BURGLARY,117
2008,Potrero Hill,LARCENY/THEFT,279
2008,Potrero Hill,OTHER OFFENSES,175
2008,Potrero Hill,VANDALISM,110
2009,Potrero Hill,ASSAULT,133
2009,Potrero Hill,BURGLARY,109
2009,Potrero Hill,LARCENY/THEFT,198
2009,Potrero Hill,OTHER OFFENSES,194
2009,Potrero Hill,VANDALISM,132
2010,Potrero Hill,ASSAULT,130
2010,Potrero Hill,LARCENY/THEFT,379
2010,Potrero Hill,OTHER OFFENSES,177
2010,Potrero Hill,VANDALISM,166
2010,Potrero Hill,VEHICLE THEFT,100
2011,Potrero Hill,ASSAULT,131
2011,Potrero Hill,LARCENY/THEFT,276
2011,Potrero Hill,OTHER OFFENSES,160
2011,Potrero Hill,VANDALISM,121
2011,Potrero Hill,VEHICLE THEFT,100
2012,Potrero Hill,ASSAULT,136
2012,Potrero Hill,BURGLARY,148
2012,Potrero Hill,LARCENY/THEFT,359
2012,Potrero Hill,NON-CRIMINAL,116
2012,Potrero Hill,OTHER OFFENSES,169
2013,Potrero Hill,ASSAULT,125
2013,Potrero Hill,LARCENY/THEFT,510
2013,Potrero Hill,NON-CRIMINAL,129
2013,Potrero Hill,OTHER OFFENSES,179
2013,Potrero Hill,VANDALISM,106
2014,Potrero Hill,,
2014,Potrero Hill,,
2014,Potrero Hill,,
2014,Potrero Hill,,
2014,Potrero Hill,,
2015,Potrero Hill,BURGLARY,4
2015,Potrero Hill,LARCENY/THEFT,4
2015,Potrero Hill,NON-CRIMINAL,5
2015,Potrero Hill,OTHER OFFENSES,8
2015,Potrero Hill,WARRANTS,4
2016,Potrero Hill,ASSAULT,74
2016,Potrero Hill,LARCENY/THEFT,407
2016,Potrero Hill,NON-CRIMINAL,72
2016,Potrero Hill,OTHER OFFENSES,95
2016,Potrero Hill,VANDALISM,116
2017,Potrero Hill,ASSAULT,100
2017,Potrero Hill,LARCENY/THEFT,340
2017,Potrero Hill,OTHER OFFENSES,156
2017,Potrero Hill,VANDALISM,107
2017,Potrero Hill,VEHICLE THEFT,83
2003,Presidio,LARCENY/THEFT,18
2003,Presidio,NON-CRIMINAL,12
2003,Presidio,OTHER OFFENSES,3
2003,Presidio,SUSPICIOUS OCC,2
2003,Presidio,VEHICLE THEFT,2
2004,Presidio,ASSAULT,3
2004,Presidio,LARCENY/THEFT,8
2004,Presidio,NON-CRIMINAL,16
2004,Presidio,OTHER OFFENSES,4
2004,Presidio,VEHICLE THEFT,3
2005,Presidio,LARCENY/THEFT,13
2005,Presidio,NON-CRIMINAL,10
2005,Presidio,OTHER OFFENSES,3
2005,Presidio,SUICIDE,7
2005,Presidio,VEHICLE THEFT,4
2006,Presidio,ASSAULT,1
2006,Presidio,LARCENY/THEFT,13
2006,Presidio,NON-CRIMINAL,14
2006,Presidio,SUICIDE,5
2006,Presidio,VEHICLE THEFT,1
2007,Presidio,ASSAULT,3
2007,Presidio,LARCENY/THEFT,9
2007,Presidio,NON-CRIMINAL,10
2007,Presidio,SUICIDE,8
2007,Presidio,VEHICLE THEFT,3
2008,Presidio,LARCENY/THEFT,9
2008,Presidio,MISSING PERSON,2
2008,Presidio,NON-CRIMINAL,6
2008,Presidio,OTHER OFFENSES,2
2008,Presidio,SUICIDE,6
2009,Presidio,LARCENY/THEFT,6
2009,Presidio,NON-CRIMINAL,2
2009,Presidio,OTHER OFFENSES,2
2009,Presidio,VANDALISM,1
2009,Presidio,VEHICLE THEFT,1
2010,Presidio,ASSAULT,1
2010,Presidio,LARCENY/THEFT,2
2010,Presidio,OTHER OFFENSES,1
2010,Presidio,SUICIDE,1
2010,Presidio,VANDALISM,1
2011,Presidio,VANDALISM,1
2011,Presidio,ROBBERY,1
2011,Presidio,ASSAULT,1
2011,Presidio,LARCENY/THEFT,7
2011,Presidio,NON-CRIMINAL,2
2012,Presidio,LARCENY/THEFT,10
2012,Presidio,NON-CRIMINAL,1
2012,Presidio,ROBBERY,1
2012,Presidio,VANDALISM,2
2012,Presidio,WARRANTS,1
2013,Presidio,LARCENY/THEFT,4
2013,Presidio,MISSING PERSON,1
2013,Presidio,NON-CRIMINAL,2
2013,Presidio,VANDALISM,2
2013,Presidio,VEHICLE THEFT,2
2014,Presidio,,
2014,Presidio,,
2014,Presidio,,
2014,Presidio,,
2014,Presidio,,
2015,Presidio,,
2015,Presidio,,
2015,Presidio,,
2015,Presidio,,
2015,Presidio,,
2016,Presidio,FRAUD,1
2016,Presidio,LARCENY/THEFT,16
2016,Presidio,NON-CRIMINAL,2
2016,Presidio,VANDALISM,1
2016,Presidio,VEHICLE THEFT,2
2017,Presidio,ASSAULT,4
2017,Presidio,LARCENY/THEFT,19
2017,Presidio,NON-CRIMINAL,4
2017,Presidio,ROBBERY,1
2017,Presidio,VANDALISM,1
2003,Outer Mission,ASSAULT,149
2003,Outer Mission,LARCENY/THEFT,168
2003,Outer Mission,NON-CRIMINAL,173
2003,Outer Mission,OTHER OFFENSES,232
2003,Outer Mission,VEHICLE THEFT,280
2004,Outer Mission,ASSAULT,154
2004,Outer Mission,LARCENY/THEFT,138
2004,Outer Mission,NON-CRIMINAL,144
2004,Outer Mission,OTHER OFFENSES,202
2004,Outer Mission,VEHICLE THEFT,278
2005,Outer Mission,ASSAULT,133
2005,Outer Mission,LARCENY/THEFT,190
2005,Outer Mission,NON-CRIMINAL,132
2005,Outer Mission,OTHER OFFENSES,252
2005,Outer Mission,VEHICLE THEFT,309
2006,Outer Mission,ASSAULT,115
2006,Outer Mission,LARCENY/THEFT,180
2006,Outer Mission,NON-CRIMINAL,113
2006,Outer Mission,OTHER OFFENSES,284
2006,Outer Mission,VANDALISM,106
2007,Outer Mission,ASSAULT,149
2007,Outer Mission,LARCENY/THEFT,116
2007,Outer Mission,NON-CRIMINAL,121
2007,Outer Mission,OTHER OFFENSES,326
2007,Outer Mission,VEHICLE THEFT,105
2008,Outer Mission,ASSAULT,131
2008,Outer Mission,LARCENY/THEFT,163
2008,Outer Mission,NON-CRIMINAL,116
2008,Outer Mission,OTHER OFFENSES,274
2008,Outer Mission,VEHICLE THEFT,107
2009,Outer Mission,ASSAULT,131
2009,Outer Mission,LARCENY/THEFT,159
2009,Outer Mission,NON-CRIMINAL,105
2009,Outer Mission,OTHER OFFENSES,302
2009,Outer Mission,VANDALISM,103
2010,Outer Mission,ASSAULT,174
2010,Outer Mission,LARCENY/THEFT,138
2010,Outer Mission,NON-CRIMINAL,121
2010,Outer Mission,OTHER OFFENSES,322
2010,Outer Mission,VANDALISM,114
2011,Outer Mission,ASSAULT,122
2011,Outer Mission,LARCENY/THEFT,154
2011,Outer Mission,NON-CRIMINAL,138
2011,Outer Mission,OTHER OFFENSES,353
2011,Outer Mission,VANDALISM,121
2012,Outer Mission,ASSAULT,135
2012,Outer Mission,LARCENY/THEFT,151
2012,Outer Mission,NON-CRIMINAL,141
2012,Outer Mission,OTHER OFFENSES,276
2012,Outer Mission,VEHICLE THEFT,140
2013,Outer Mission,ASSAULT,120
2013,Outer Mission,LARCENY/THEFT,210
2013,Outer Mission,NON-CRIMINAL,205
2013,Outer Mission,OTHER OFFENSES,302
2013,Outer Mission,VEHICLE THEFT,181
2014,Outer Mission,,
2014,Outer Mission,,
2014,Outer Mission,,
2014,Outer Mission,ASSAULT,1
2014,Outer Mission,NON-CRIMINAL,1
2015,Outer Mission,ASSAULT,8
2015,Outer Mission,BURGLARY,3
2015,Outer Mission,LARCENY/THEFT,5
2015,Outer Mission,ROBBERY,3
2015,Outer Mission,VEHICLE THEFT,7
2016,Outer Mission,ASSAULT,98
2016,Outer Mission,LARCENY/THEFT,108
2016,Outer Mission,NON-CRIMINAL,79
2016,Outer Mission,OTHER OFFENSES,152
2016,Outer Mission,VEHICLE THEFT,45
2017,Outer Mission,ASSAULT,105
2017,Outer Mission,LARCENY/THEFT,106
2017,Outer Mission,NON-CRIMINAL,90
2017,Outer Mission,OTHER OFFENSES,194
2017,Outer Mission,VANDALISM,56
2003,Outer Richmond,ASSAULT,166
2003,Outer Richmond,LARCENY/THEFT,223
2003,Outer Richmond,NON-CRIMINAL,196
2003,Outer Richmond,OTHER OFFENSES,169
2003,Outer Richmond,VEHICLE THEFT,214
2004,Outer Richmond,ASSAULT,140
2004,Outer Richmond,LARCENY/THEFT,257
2004,Outer Richmond,NON-CRIMINAL,182
2004,Outer Richmond,OTHER OFFENSES,174
2004,Outer Richmond,VEHICLE THEFT,415
2005,Outer Richmond,LARCENY/THEFT,206
2005,Outer Richmond,NON-CRIMINAL,178
2005,Outer Richmond,OTHER OFFENSES,147
2005,Outer Richmond,VANDALISM,122
2005,Outer Richmond,VEHICLE THEFT,300
2006,Outer Richmond,ASSAULT,110
2006,Outer Richmond,LARCENY/THEFT,211
2006,Outer Richmond,NON-CRIMINAL,111
2006,Outer Richmond,OTHER OFFENSES,117
2006,Outer Richmond,VANDALISM,133
2007,Outer Richmond,LARCENY/THEFT,235
2007,Outer Richmond,NON-CRIMINAL,147
2007,Outer Richmond,OTHER OFFENSES,135
2007,Outer Richmond,VANDALISM,119
2007,Outer Richmond,VEHICLE THEFT,146
2008,Outer Richmond,ASSAULT,129
2008,Outer Richmond,LARCENY/THEFT,249
2008,Outer Richmond,NON-CRIMINAL,166
2008,Outer Richmond,OTHER OFFENSES,212
2008,Outer Richmond,VANDALISM,119
2009,Outer Richmond,ASSAULT,125
2009,Outer Richmond,LARCENY/THEFT,246
2009,Outer Richmond,NON-CRIMINAL,169
2009,Outer Richmond,OTHER OFFENSES,175
2009,Outer Richmond,VANDALISM,140
2010,Outer Richmond,ASSAULT,144
2010,Outer Richmond,LARCENY/THEFT,241
2010,Outer Richmond,NON-CRIMINAL,184
2010,Outer Richmond,OTHER OFFENSES,234
2010,Outer Richmond,VANDALISM,116
2011,Outer Richmond,ASSAULT,136
2011,Outer Richmond,LARCENY/THEFT,213
2011,Outer Richmond,NON-CRIMINAL,179
2011,Outer Richmond,OTHER OFFENSES,209
2011,Outer Richmond,VANDALISM,135
2012,Outer Richmond,ASSAULT,118
2012,Outer Richmond,LARCENY/THEFT,287
2012,Outer Richmond,NON-CRIMINAL,216
2012,Outer Richmond,OTHER OFFENSES,211
2012,Outer Richmond,VANDALISM,128
2013,Outer Richmond,BURGLARY,133
2013,Outer Richmond,LARCENY/THEFT,457
2013,Outer Richmond,NON-CRIMINAL,293
2013,Outer Richmond,OTHER OFFENSES,195
2013,Outer Richmond,VEHICLE THEFT,133
2014,Outer Richmond,,
2014,Outer Richmond,,
2014,Outer Richmond,,
2014,Outer Richmond,NON-CRIMINAL,1
2014,Outer Richmond,OTHER OFFENSES,1
2015,Outer Richmond,ASSAULT,3
2015,Outer Richmond,BURGLARY,3
2015,Outer Richmond,LARCENY/THEFT,11
