Year,Neigh,Num
2008,Financial District/South Beach,4975
2008,Glen Park,362
2008,Golden Gate Park,780
2008,Haight Ashbury,1431
2008,Hayes Valley,1749
2008,Inner Richmond,908
2008,Inner Sunset,1065
2008,Japantown,338
2008,Lakeshore,854
2008,Lincoln Park,20
2008,Lone Mountain/USF,939
2008,Marina,1596
2008,McLaren Park,105
2008,Mission,10585
2008,Mission Bay,594
2008,Nob Hill,2233
2008,Noe Valley,747
2008,North Beach,1783
2008,Oceanview/Merced/Ingleside,1260
2008,Outer Mission,1310
2008,Outer Richmond,1399
2008,Pacific Heights,1453
2008,Portola,930
2008,Potrero Hill,1339
2008,Presidio,31
2008,Presidio Heights,472
2008,Russian Hill,1162
2008,Seacliff,54
2008,South of Market,9441
2008,Sunset/Parkside,2493
2008,Tenderloin,12766
2008,Treasure Island,194
2008,Twin Peaks,289
2008,Visitacion Valley,1287
2008,West of Twin Peaks,1540
2008,Western Addition,2790
2009,Bayview Hunters Point,5465
2009,Bernal Heights,1663
2009,Castro/Upper Market,2165
2009,Chinatown,1283
2009,Excelsior,1490
2009,Financial District/South Beach,5000
2009,Glen Park,370
2009,Golden Gate Park,1023
2009,Haight Ashbury,1547
2009,Hayes Valley,1664
2009,Inner Richmond,919
2009,Inner Sunset,900
2009,Japantown,342
2009,Lakeshore,777
2009,Lincoln Park,11
2009,Lone Mountain/USF,956
2009,Marina,1710
2009,McLaren Park,82
2009,Mission,9970
2009,Mission Bay,654
2009,Nob Hill,2187
2009,Noe Valley,794
2009,North Beach,1781
2009,Oceanview/Merced/Ingleside,1316
2009,Outer Mission,1323
2009,Outer Richmond,1375
2009,Pacific Heights,1358
2009,Portola,897
2009,Potrero Hill,1251
2009,Presidio,12
2009,Presidio Heights,391
2009,Russian Hill,1161
2009,Seacliff,60
2009,South of Market,9726
2009,Sunset/Parkside,2338
2009,Tenderloin,12951
2009,Treasure Island,168
2009,Twin Peaks,274
2009,Visitacion Valley,1195
2009,West of Twin Peaks,1710
2009,Western Addition,2596
2010,Bayview Hunters Point,5418
2010,Bernal Heights,1690
2010,Castro/Upper Market,2131
2010,Chinatown,1102
2010,Excelsior,1618
2010,Financial District/South Beach,5176
2010,Glen Park,383
2010,Golden Gate Park,765
2010,Haight Ashbury,1395
2010,Hayes Valley,1530
2010,Inner Richmond,876
2010,Inner Sunset,839
2010,Japantown,348
2010,Lakeshore,747
2010,Lincoln Park,7
2010,Lone Mountain/USF,920
2010,Marina,1412
2010,McLaren Park,74
2010,Mission,9319
2010,Mission Bay,755
2010,Nob Hill,2254
2010,Noe Valley,750
2010,North Beach,1711
2010,Oceanview/Merced/Ingleside,1148
2010,Outer Mission,1419
2010,Outer Richmond,1404
2010,Pacific Heights,1238
2010,Portola,902
2010,Potrero Hill,1426
2010,Presidio,6
2010,Presidio Heights,360
2010,Russian Hill,1012
2010,Seacliff,41
2010,South of Market,10527
2010,Sunset/Parkside,2185
2010,Tenderloin,10632
2010,Treasure Island,119
2010,Twin Peaks,272
2010,Visitacion Valley,1226
2010,West of Twin Peaks,1430
2010,Western Addition,2359
2011,Bayview Hunters Point,5633
2011,Bernal Heights,1551
2011,Castro/Upper Market,2308
2011,Chinatown,1123
2011,Excelsior,1416
2011,Financial District/South Beach,5462
2011,Glen Park,389
2011,Golden Gate Park,716
2011,Haight Ashbury,1534
2011,Hayes Valley,1527
2011,Inner Richmond,938
2011,Inner Sunset,991
2011,Japantown,393
2011,Lakeshore,829
2011,Lincoln Park,16
2011,Lone Mountain/USF,950
2011,Marina,1480
2011,McLaren Park,97
2011,Mission,9316
2011,Mission Bay,622
2011,Nob Hill,2109
2011,Noe Valley,772
2011,North Beach,1788
2011,Oceanview/Merced/Ingleside,1048
2011,Outer Mission,1375
2011,Outer Richmond,1360
2011,Pacific Heights,1275
2011,Portola,812
2011,Potrero Hill,1303
2011,Presidio,12
2011,Presidio Heights,434
2011,Russian Hill,1043
2011,Seacliff,59
2011,South of Market,9442
2011,Sunset/Parkside,2258
2011,Tenderloin,9777
2011,Treasure Island,98
2011,Twin Peaks,299
2011,Visitacion Valley,1105
2011,West of Twin Peaks,1622
2011,Western Addition,2567
2012,Bayview Hunters Point,5774
2012,Bernal Heights,1739
2012,Castro/Upper Market,2607
2012,Chinatown,1352
2012,Excelsior,1617
2012,Financial District/South Beach,5941
2012,Glen Park,403
2012,Golden Gate Park,866
2012,Haight Ashbury,1795
2012,Hayes Valley,1754
2012,Inner Richmond,1136
2012,Inner Sunset,1048
2012,Japantown,470
2012,Lakeshore,947
2012,Lincoln Park,17
2012,Lone Mountain/USF,1082
2012,Marina,1641
2012,McLaren Park,108
2012,Mission,9548
2012,Mission Bay,812
2012,Nob Hill,2465
2012,Noe Valley,900
2012,North Beach,1934
2012,Oceanview/Merced/Ingleside,1250
2012,Outer Mission,1321
2012,Outer Richmond,1577
2012,Pacific Heights,1386
2012,Portola,847
2012,Potrero Hill,1449
2012,Presidio,16
2012,Presidio Heights,536
2012,Russian Hill,1051
2012,Seacliff,51
2012,South of Market,9872
2012,Sunset/Parkside,2323
2012,Tenderloin,9569
2012,Treasure Island,113
2012,Twin Peaks,315
2012,Visitacion Valley,1219
2012,West of Twin Peaks,1711
2012,Western Addition,2766
2013,Bayview Hunters Point,5756
2013,Bernal Heights,1908
2013,Castro/Upper Market,3076
2013,Chinatown,1428
2013,Excelsior,1771
2013,Financial District/South Beach,6398
2013,Glen Park,454
2013,Golden Gate Park,963
2013,Haight Ashbury,2086
2013,Hayes Valley,2064
2013,Inner Richmond,1286
2013,Inner Sunset,1064
2013,Japantown,599
2013,Lakeshore,988
2013,Lincoln Park,9
2013,Lone Mountain/USF,1193
2013,Marina,1783
2013,McLaren Park,105
2013,Mission,10763
2013,Mission Bay,879
2013,Nob Hill,2557
2013,Noe Valley,836
2013,North Beach,1866
2013,Oceanview/Merced/Ingleside,1321
2013,Outer Mission,1552
2013,Outer Richmond,1870
2013,Pacific Heights,1482
2013,Portola,908
2013,Potrero Hill,1620
2013,Presidio,13
2013,Presidio Heights,561
2013,Russian Hill,1283
